quality_score,notice_id,original_title,buyer_name,country,deadline,estimated_value_eur,tender_url,english_summary,what_they_want,eligibility_requirements,evaluation_criteria,language_detected
2,CF-3598700D0O000000rwimUAA,Provision of Non-Emergency Patient Transport Services (NEPTS) for GHFT,Gloucestershire Hospitals NHS Foundation Trust,GBR,2026-08-20,8000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/fda1ee4b-f853-4634-a838-ed28f9f9b02e,Gloucestershire Hospitals NHS Foundation Trust is seeking to procure Non-Emergency Patient Transport Services (NEPTS) to transport patients who do not require emergency care to and from hospital facilities.,Non-Emergency Patient Transport Services (NEPTS) - transport services for patients requiring non-urgent medical transportation to and from healthcare facilities.,NOT FOUND,NOT FOUND,English
2,RM6296.,Occupational Health and Related Services - DPS,Crown Commercial Service,GBR,2028-10-25,220000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/96aadde2-38aa-4ca0-b50e-4ec59af6cded,"Crown Commercial Service is establishing a Dynamic Purchasing System (DPS) for occupational health and related services including occupational health, employee assistance programmes, fully managed services, eyecare and hearing services. This will be available to public sector, wider public sector and third sector organizations in the UK.","Occupational health services, employee assistance programmes, fully managed service, eyecare services, and hearing services.",NOT FOUND,NOT FOUND,English
2,WNC00000403,Health Checks DPS,West Northamptonshire Council,GBR,2029-02-21,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/85908bef-1dd1-4924-81c2-518505b680e5,"West Northamptonshire Council is establishing a Dynamic Purchasing System (DPS) for delivery of NHS Health Check services to identify and manage cardiovascular risk factors in people aged 40-74 years. The program aims to offer health checks to 49,500 eligible residents annually, with an aspiration of 34,650 checks completed per year.",NHS Health Check services for cardiovascular disease screening and risk assessment for eligible population aged 40-74 years with no previous history of CVD. The service should deliver health checks to identify and manage cardiovascular risk factors and disease.,NOT FOUND,NOT FOUND,English
2,RM6264,Facilities Management &amp; Workplace Services DPS,Crown Commercial Service,GBR,2029-02-23,2000000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/2beac901-5c90-4a54-a056-037d888aa354,"This is a Dynamic Purchasing System (DPS) for Facilities Management and Workplace Services aimed at lower value/less complex contracts and SME suppliers. It covers maintenance, repairs, installation works, CAFM, help-desk services, and waste management for UK public sector estates.","Facilities management and workplace services including maintenance, response repairs, supply and installation works, CAFM (Computer-Aided Facilities Management), help-desk services, and waste management services.",NOT FOUND,NOT FOUND,English
2,20250210133942-104102,Provision of Best Interest Assessors / Section 12 Doctors - Pseudo Open Framework,Hull City Council,GBR,2028-03-31,600000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/6eefb3c8-94c8-4292-9540-bba9e482fd1f,"Hull City Council is seeking to establish a pseudo open framework agreement for the provision of Best Interest Assessors and Section 12 Doctors under the Light Touch Regime. The framework will run for 3 years from April 2025 to March 2028 with an optional 24-month extension, with an estimated value of £200,000 per annum.",Lot 1 - Best Interest Assessors; Lot 2 - Section 12 Doctors,NOT FOUND,NOT FOUND,English
2,BIP917284342,Functional Electrical Stimulation Supplies and Maintenance,Procurement Assist Limited c/o Integrated Facilities Management Bolton Ltd (iFM Bolton),GBR,2029-05-31,50000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/db630f8f-7a5c-48e1-93cd-27d3a7454938,This is a Dynamic Purchasing System (DPS) for the supply and maintenance of Functional Electrical Stimulation (FES) equipment and supplies to UK public healthcare providers and other public sector organizations. The DPS has been extended to run until 31 May 2029.,Functional Electrical Stimulation (FES) supplies and maintenance services for use in general rehabilitation to complement therapy interventions.,NOT FOUND,NOT FOUND,English
2,DPS/013/MDTU/23/AB,National Dynamic Purchasing System for Mobile Diagnostic and Treatment Units,Countess Of Chester Hospital,GBR,2028-09-02,,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/94e5ba0b-6142-492b-8bbf-28125234d4ea,This is a Dynamic Purchasing System (DPS) for mobile diagnostic and treatment units to increase NHS capacity for elective procedures and reduce waiting lists. Units can be vans or non-permanent cabins deployed at hospital sites or community locations like supermarkets and GP practices.,Mobile diagnostic and/or treatment units (vans or non-permanent units/cabins) available through three procurement options: Lot 1 - Hire or Lease; Lot 2 - Purchase; Lot 3 - Managed Service.,NOT FOUND,NOT FOUND,English
2,IT-100-4137-P0819A,P0819A - Application to join the Dynamic Purchasing System (DPS) for the Domestic Homicide Reporting,Birmingham City Council,GBR,2028-01-31,,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/e0e3a8f4-63ab-4e0b-a68d-3d0ea30e9f50,"Birmingham City Council is establishing a Dynamic Purchasing System (DPS) to procure Independent Author/Chair services to conduct Domestic Homicide Reviews across seven West Midlands local authorities. These reviews examine deaths of persons aged 16+ resulting from domestic violence, abuse or neglect to identify lessons and prevent future homicides.","Independent Author/Chair services (combined role) to undertake statutory Domestic Homicide Reviews for deaths resulting from domestic violence, abuse or neglect across the West Midlands region covering Birmingham, Coventry, Dudley, Sandwell, Solihull, Walsall, and Wolverhampton.",NOT FOUND,NOT FOUND,English
2,CF-1446800D0O000000rwimUAA,Nursing Homes Preferred Provider List For Derby and Derbyshire ICB,NHS Derby &amp; Derbyshire Integrated Care Board,GBR,2026-07-31,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/e3abb7e4-2f32-4d67-a117-f7f592b99acf,"NHS Derby & Derbyshire Integrated Care Board is establishing a Nursing Home Preferred Provider List using an Any Qualified Provider (AQP) basis, similar to a Dynamic Purchasing System. The agreement runs for 5 years from August 1, 2021, with an optional 2-year extension, allowing providers to apply at any time during the contract period.","Nursing home services for Derby and Derbyshire ICB area. This is a zero value, zero volume contract for placement on a preferred provider list.",NOT FOUND,NOT FOUND,English
2,20210409160030-68205,Nursing Homes Preferred Provider List For Derby and Derbyshire ICB,EU SUPPLY LIMITED,GBR,2026-07-31,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/a15eb612-8abf-4706-a969-59aa28982db9,"NHS Derby & Derbyshire ICB is seeking to establish a Nursing Home Preferred Provider List using an Any Qualified Provider (AQP) basis, similar to a Dynamic Purchasing System. Providers can apply at any time during the contract period, which runs for 5 years with an optional 2-year extension.",Nursing home services for placement on a Preferred Provider List.,NOT FOUND,NOT FOUND,English
2,20221130150155-104130,Adults with Disabilities Pseudo-DPS,EU SUPPLY LIMITED,GBR,2033-03-26,500000000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/738b1dab-d904-4763-997a-ee6f6a8d4cbe,"This is a Dynamic Purchasing System (DPS) for providing home and community support services to working-age adults (16+) with disabilities and/or long-term health conditions living in Sheffield, running from March 27, 2023 to March 26, 2033.",Support services for adults with disabilities including in-home support and activities/support outside the home for people aged 16 or over with disabilities and/or long-term health conditions.,NOT FOUND,NOT FOUND,English
2,20210806173042-68205,Children and Young People Continuing Healthcare,NHS Arden and Greater East Midlands Commissioning Support Unit,GBR,2026-10-31,1,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/04c7b797-5b6f-4d0d-afc5-629b72b91091,"This is a tender for continuing healthcare services for children and young people in Norfolk and Waveney who have been determined to have Continuing Care needs. The service must be available 365 days per year, 24 hours a day, and will be awarded as a Preferred Provider List on a zero value, zero volume basis for 3 years.","Continuing healthcare services for children and young people with Continuing Care needs, available 365 days per year, 24 hours per day, delivered in accordance with service specifications and individual care plans.",NOT FOUND,NOT FOUND,English
2,NECS267.,Pseudo Dynamic Purchasing System (PDPS) for Rapid Specialist Opinion (RSO) / Referral Management Services (RMS),NHS NORTH OF ENGLAND COMMISSIONING SUPPORT (HOSTED BY NHS ENGLAND),GBR,2028-04-01,,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/89afa003-6f32-4a3b-9208-61a3590f4d51,This tender is for establishing a Pseudo Dynamic Purchasing System (PDPS) for Rapid Specialist Opinion (RSO) and Referral Management Services (RMS) on behalf of multiple NHS Clinical Commissioning Groups in North East England. The system will allow NHS organizations to procure specialist medical opinion and referral management services.,Rapid Specialist Opinion (RSO) services and Referral Management Services (RMS) for healthcare referrals and specialist clinical opinions.,NOT FOUND,NOT FOUND,English
1,20250219173935-104514,Flexible Procurement System (FPS) for the Provision of Independent Assessors and Reviewers,City of Doncaster Council,GBR,2033-03-31,,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/addb7ac2-0fc3-4da0-a51e-162c4430c980,"The City of Doncaster Council is establishing a Flexible Procurement System for independent assessors and reviewers across seven lots covering mental health assessments, safeguarding reviews, and complaints procedures. Providers can apply for one or multiple lots covering areas including Deprivation of Liberties assessments, children's and adult safeguarding reviews, and domestic homicide reviews.",NOT FOUND,NOT FOUND,NOT FOUND,English
1,20230915144845-104130,Older Peoples Care Homes,Sheffield City Council,GBR,2029-02-04,150400000,https://www.contractsfinder.service.gov.uk/Notice/Notice/Details/17a9435f-d2ab-4b98-8de7-7f2c35d49a2b,"This tender is for the provision of care home services for older people in Sheffield, focusing on personalized care that promotes independence, wellbeing, and quality of life while supporting individuals to remain connected to their communities and reducing unnecessary hospital admissions.",NOT FOUND,NOT FOUND,NOT FOUND,English
