quality_score,notice_id,original_title,buyer_name,country,deadline,estimated_value_eur,tender_url,english_summary,what_they_want,eligibility_requirements,evaluation_criteria,language_detected
3,829715-2025,Estonia – Medical consumables,sihtasutus Tartu Ülikooli Kliinikum,EST,2026-01-05,,https://ted.europa.eu/en/notice/-/detail/829715-2025,"Tartu University Hospital in Estonia is tendering for medical consumables. The detailed technical specifications are contained in Annex 1 of the tender documents, along with exclusion grounds and qualification conditions.",Medical consumables (specific items not detailed in this notice extract; detailed technical description referenced in Annex 1),Exclusion grounds and qualification conditions are referenced in the tender base documents (specific requirements not detailed in this notice extract),NOT FOUND,Estonian
3,836883-2025,Germany – Stimulator,Klinikum Obergöltzsch Rodewisch,DEU,2026-01-16,,https://ted.europa.eu/en/notice/-/detail/836883-2025,"This tender is for an implantable electrical stimulation system for stabilizing the lumbar spine through targeted stimulation of lower back muscles. The system includes implantable electrodes, a pulse generator to be fitted into the pelvic bone, external programming equipment, and requires operational support, patient training, and post-operative follow-up services.","Electrical spinal stimulation system consisting of: implantable electrodes for lower back muscle stimulation, pulse generator/stimulator for insertion into pelvic crest (left or right side), external programming device for adjustment, patient-oriented handheld control device for ongoing therapy management. System must include intraoperative support during first programming and patient training.","Bidders must provide certificates and documentation proving the proposed procedure/system, material compatibility evidence for electrodes and stimulator, and MRI capability certification of the devices.",NOT FOUND,German
3,839384-2025,Sweden – Medical aids,Region Dalarna,SWE,2026-02-03,,https://ted.europa.eu/en/notice/-/detail/839384-2025,"Region Dalarna is procuring communication aids and assistive devices including accessories, spare parts, and services. The procurement covers seven categories of devices ranging from basic communication devices with recorded speech to advanced devices with eye-tracking, voice amplifiers, and software for creating pictorial support materials.","Communication aids divided into seven categories: A - Communication device with one or more buttons and recorded speech; B - Communication device with physical keyboard and synthetic speech; C - Communication device with touchscreen; D - Advanced communication device with touchscreen; E - Advanced communication device with touchscreen and eye-tracking; F - Voice amplifier; G - Software/service for production of pictorial support materials for printing. Includes accessories, spare parts, documentation, training for handling and technical use.",NOT FOUND,Suppliers must meet qualification requirements and mandatory requirements within each category. The region intends to award contracts to all suppliers who meet these requirements for each category separately.,Swedish
3,840602-2025,Poland – Hospital facilities construction work,Wielospecjalistyczny Szpital - Samodzielny Publiczny Zespół Opieki Zdrowotnej w Zgorzelcu,POL,2026-01-05,,https://ted.europa.eu/en/notice/-/detail/840602-2025,"This tender is for the expansion and modernization of a long-term care facility (Zakład Opiekuńczo-Leczniczy) in Zgorzelec, Poland, using a design-build approach. The project includes infrastructure development for chronically ill patients, equipment procurement, and roof renovation of the existing building, funded under Poland's National Recovery and Resilience Plan.","Design-build services for expansion of long-term care facility including construction work, medical equipment and furnishings (detailed in Annex 7.1), demolition works, general construction works, electrical and telecommunications installations, and sanitary network installations. Roof renovation of existing building is also included.","Contractors must employ workers directly through employment contracts (in accordance with Polish Labor Code) for demolition, general construction, electrical/telecommunications installation, and sanitary installation work throughout the contract period. Same requirement applies to subcontractors. Minimum wage requirements must be met per Polish law.",NOT FOUND,Polish
3,842622-2025,Estonia – Operating theatre devices and instruments,sihtasutus Põhja-Eesti Regionaalhaigla,EST,2026-01-20,,https://ted.europa.eu/en/notice/-/detail/842622-2025,"This tender is for the procurement of a robotic surgery system for a regional hospital in Estonia. The system must be universal and suitable for use in general surgery, urology, gynecology, thoracic surgery, and head and neck surgery, and must include an operating table, instruments, and training.","Robotic surgery system (universal/multi-specialty), operating table, surgical instruments, and training. The system must be capable of use in general surgery, urology, gynecology, thoracic surgery, and head and neck surgery.",Grounds for exclusion and qualification conditions are referenced in the procurement base documents (specific details not provided in this notice extract).,NOT FOUND,Estonian
3,842861-2025,"Germany – Medical equipments, pharmaceuticals and personal care products",cusanus trägergesellschaft trier mbH,DEU,2026-01-16,,https://ted.europa.eu/en/notice/-/detail/842861-2025,"This is a market survey (not a formal tender) for a robotic-assisted surgical system for hip and knee endoprosthesis implantations. The buyer seeks to assess the market for systems compatible with specific implant series currently used, explore pricing, delivery times, and potential technical alternatives.","Robotic-assisted surgical system for hip and knee endoprosthesis implantations, compatible with specific implant series including EXETER V40, MAKO/MCK FEMORAL, MAKO/MCK TIBIAL, TRIATHLON CR/PS FEM series, TRITANIUM, TRIDENT, RESTORATION ADM, and DELTA V40 CERAMIC. System must support three applications (hip, knee, and patella). Must include CT-based pre-operative planning with product specialist support, delivery, installation, acceptance testing, operational handover, and maintenance.",NOT FOUND,"NOT FOUND (this is a market survey, not a formal procurement - stated that procurement regulations do not apply)",German
3,843245-2025,Estonia – Medical equipments,sihtasutus Põhja-Eesti Regionaalhaigla,EST,2026-01-20,,https://ted.europa.eu/en/notice/-/detail/843245-2025,"This is a tender for nutritional therapy preparations, feeding devices and accessories for patients receiving home nutritional therapy. The procurement includes various types of enteral and oral nutritional supplements for different medical conditions, along with feeding equipment and accessories.","Nutritional therapy preparations and feeding equipment including: percutaneous gastrostomy button extensions; complete enteral nutrition preparations for adults (energy-rich with fiber, for increased energy needs with fluid restriction, vitamin and mineral enriched, suitable for vegans, for diabetes/hyperglycemia, high protein content, for digestive/absorption disorders); oral nutrition preparations (energy and protein rich, with/without fiber, high EPA+DHA for perioperative nutrition, modular ketogenic diet formulations); specialized formulations for dialysis patients, liver disease and celiac patients; protein powder and fiber powder supplements for food/drink enrichment; thickening agents for patients with swallowing disorders.",Exclusion grounds and qualification requirements are referenced in the tender's base documents (not specified in this excerpt).,NOT FOUND,Estonian
2,818167-2025,Croatia – Medical consumables,Klinički bolnički centar Osijek,HRV,2025-12-19,,https://ted.europa.eu/en/notice/-/detail/818167-2025,"This is a tender issued by the Clinical Hospital Center Osijek in Croatia for the procurement of medical consumables. The notice repeatedly lists ""Potrošni medicinski materijal"" (medical consumable materials) but does not provide specific details about the types, quantities, or specifications of the consumables required.","Medical consumable materials (Potrošni medicinski materijal). No specific types, brands, model numbers, or detailed specifications are provided in this notice.",NOT FOUND,NOT FOUND,Croatian
2,818268-2025,Sweden – Dental and subspecialty instruments and devices,Region Värmland,SWE,2026-01-05,,https://ted.europa.eu/en/notice/-/detail/818268-2025,"This is a procurement for dental consumable materials for the Public Dental Service (Folktandvården) in Värmland, Sweden. The tender is issued by Region Värmland for ongoing supply of dental consumables to their public dental care facilities.","Dental consumable materials (dentala förbrukningsmaterial) for public dental services. Specific products, brands, or model numbers are not mentioned in this notice.",NOT FOUND,NOT FOUND,Swedish
2,818707-2025,Austria – X-ray devices,Stadt Wien - Wiener Gesundheitsverbund,AUT,2026-01-16,,https://ted.europa.eu/en/notice/-/detail/818707-2025,"The Central Emergency Department of Klinik Donaustadt in Vienna is being renovated in three construction phases. Upon completion, there will be a new trauma outpatient clinic with three X-ray rooms and a total of five stationary X-ray systems in trauma and shock room areas.","Five stationary X-ray systems for trauma and shock room areas, including equipment for three X-ray rooms in the new trauma outpatient clinic.",NOT FOUND,NOT FOUND,German
2,818715-2025,"Slovenia – Medical equipments, pharmaceuticals and personal care products",DOM STAREJŠIH OBČANOV METLIKA,SVN,2026-01-09,,https://ted.europa.eu/en/notice/-/detail/818715-2025,This is a public tender for the successive (recurring) delivery of sanitary/medical materials for the period February 2026 to November 2027. The tender is a repeat for an unawarded lot and is divided into two lots.,"Sanitary materials (sanitetni material) for successive delivery over approximately 21 months (February 2026 to November 2027). Specific products, model numbers, or brands are not mentioned in this notice.",NOT FOUND,NOT FOUND,Slovenian
2,818904-2025,Poland – Medical equipments,GÓRNOŚLĄSKIE CENTRUM ZDROWIA DZIECKA im. św. JANA PAWŁA II Samodzielny Publiczny Szpital Kliniczny Nr 6 Śląskiego Uniwersytetu Medycznego w Katowicach,POL,2026-01-15,,https://ted.europa.eu/en/notice/-/detail/818904-2025,This is a tender issued by a Polish children's health center (Górnośląskie Centrum Zdrowia Dziecka - St. John Paul II Upper Silesian Child Health Centre) for the procurement of medical equipment. The detailed specifications are contained in multiple annexes including assortment-price specifications and technical parameters.,"Medical equipment as specified in multiple annexes (attachments 2.1, 2.2, 2.3, 3.1, 3.2, 3.3, 3.4) containing assortment-price specifications and technical parameters. Specific equipment types and models are not detailed in the main notice text.",NOT FOUND,NOT FOUND,Polish
2,818919-2025,Croatia – Medical equipments,Klinički bolnički centar Sestre milosrdnice,HRV,2026-01-15,,https://ted.europa.eu/en/notice/-/detail/818919-2025,The Clinical Hospital Center Sestre Milosrdnice in Croatia is procuring a radiochemical microbiological protective cabinet with laminar air flow for the needs of the Nuclear Medicine Institute of the Clinic for Oncology and Nuclear Medicine.,Radiochemical microbiological protective cabinet with laminar air flow (radiokemijski mikrobiološki zaštitni kabinet s laminarnim protokom zraka) for nuclear medicine department use,NOT FOUND,NOT FOUND,Croatian
2,818935-2025,Poland – Orthopaedic implants,Wielospecjalistyczny Szpital Samodzielny Publiczny Zakład Opieki Zdrowotnej,POL,2026-01-14,,https://ted.europa.eu/en/notice/-/detail/818935-2025,"This tender is for the procurement of various orthopedic implants and related materials including hip and shoulder endoprostheses (both primary and revision), knee joint prostheses (cemented and cementless), bone substitutes, membranes, wires, and other orthopedic implants for a multi-specialty hospital in Poland.","V200 saw blade, hip endoprostheses (primary and revision), shoulder joint revision endoprostheses, cemented knee joint endoprostheses, cementless hip joint endoprostheses, primary hip and knee joint endoprostheses, Kirschner wires, cerclage bone wire, membranes, bone substitute materials, biomaterials, knee implants, anchors, orthopedic implants.",NOT FOUND,NOT FOUND,Polish
2,818939-2025,"France – Sterilisation, disinfection and hygiene devices",CENTRE HOSPITALIER DE DUNKERQUE,FRA,2026-01-12,,https://ted.europa.eu/en/notice/-/detail/818939-2025,"The Centre Hospitalier de Dunkerque in France is procuring a washing cabin for sterilisation and hygiene purposes. This includes supply, installation, commissioning, and maintenance of the equipment.","One washing cabin (cabine de lavage) including supply, installation, commissioning, and maintenance services.",NOT FOUND,NOT FOUND,French
2,818941-2025,"Belgium – Imaging equipment for medical, dental and veterinary use",VITAZ vzw,BEL,2026-01-08,,https://ted.europa.eu/en/notice/-/detail/818941-2025,"This tender is for the supply and installation of remotely controlled X-ray and fluoroscopy rooms and bucky rooms across multiple hospital campuses in Belgium (Beveren, Lokeren, Sint-Gillis, and Sint-Niklaas). The contract includes dismantling and disposal of existing equipment and an all-inclusive service and maintenance contract.","Remotely controlled X-ray and fluoroscopy rooms (full leg - full spine capability) for campuses Beveren, Lokeren, and Sint-Gillis; bucky rooms for campuses Beveren and Sint-Niklaas. Equipment must meet current standards and handle estimated annual examination volumes ranging from 9,000 to 17,000 examinations per location. Includes dismantling/disposal of existing equipment and an OMNIUM all-inclusive service and maintenance contract.",NOT FOUND,NOT FOUND,Dutch
2,819065-2025,Czechia – Printers and plotters,Fakultní nemocnice Ostrava,CZE,2026-01-09,,https://ted.europa.eu/en/notice/-/detail/819065-2025,"This is a multi-part procurement by University Hospital Ostrava for 3D printing equipment and IT technology for the Life Environment Research Center Ostrava (LERCO) project. The tender includes 3D printers for anatomical models with accessories, consumables, handheld 3D scanners, and various IT equipment including VR systems and monitoring devices.","Part 1: IT equipment (4K webcam, camera tripod, notebook, VR PC assembly, VR monitor, VR glasses, external disk, finger pulse oximeter, smart bracelet, PC assembly for NN, monitor for NN, WiFi router). Part 2: 3D printers and accessories (43l 3D printer, 22l 3D printer, 10l 3D printer, complete filament printing system/3D filament extruder, filament shredder). Part 3: Handheld 3D scanner. Part 4: 3D printer for anatomical models including accessories (UV light, WaterJet) and ongoing consumables supply. Part 5: Ongoing and repeated supply of consumables for 3D printers.",NOT FOUND,NOT FOUND,Czech
